Date,Open,High,Low,Close,Adj Close,Volume
2022-07-04,1572.099976,1587.449951,1550.199951,1581.699951,1561.700806,1269969
2022-07-05,1584.000000,1597.250000,1561.599976,1564.900024,1545.113403,1445200
2022-07-06,1565.550049,1590.500000,1551.800049,1556.150024,1536.473999,2422594
2022-07-07,1565.900024,1614.150024,1565.650024,1611.099976,1590.729126,1697912
2022-07-08,1621.000000,1702.000000,1618.000000,1687.449951,1666.113770,6516138
2022-07-11,1684.949951,1688.849976,1653.400024,1663.000000,1641.972900,1316037
2022-07-12,1655.000000,1672.900024,1649.050049,1653.750000,1632.839844,781516
2022-07-13,1664.000000,1683.250000,1644.400024,1647.250000,1626.422119,1914814
2022-07-14,1651.849976,1667.349976,1634.599976,1646.150024,1625.336060,1170472
2022-07-15,1653.900024,1687.849976,1649.199951,1684.849976,1663.546631,1345141
2022-07-18,1696.050049,1734.599976,1690.000000,1727.650024,1705.805542,3200640
2022-07-19,1719.949951,1734.949951,1714.000000,1729.800049,1707.928345,1351783
2022-07-20,1740.349976,1746.849976,1727.949951,1739.949951,1717.949951,1509911
2022-07-21,1726.900024,1768.949951,1715.099976,1765.150024,1765.150024,2827327
2022-07-22,1765.500000,1779.550049,1752.550049,1767.750000,1767.750000,1495629
2022-07-25,1765.000000,1785.500000,1760.050049,1782.449951,1782.449951,1916615
2022-07-26,1780.750000,1780.750000,1741.900024,1751.250000,1751.250000,1585897
2022-07-27,1754.000000,1819.500000,1750.000000,1796.650024,1796.650024,5369460
2022-07-28,1805.000000,1816.000000,1786.949951,1801.250000,1801.250000,1831059
2022-07-29,1814.949951,1832.500000,1794.000000,1808.050049,1808.050049,1747781
2022-08-01,1808.000000,1817.849976,1790.300049,1814.699951,1814.699951,1341943
2022-08-02,1809.000000,1811.650024,1775.699951,1793.050049,1793.050049,1749346
2022-08-03,1793.050049,1804.000000,1773.000000,1789.800049,1789.800049,1264299
2022-08-04,1793.800049,1814.800049,1775.000000,1780.099976,1780.099976,1856927
2022-08-05,1782.949951,1807.000000,1775.300049,1787.449951,1787.449951,1430542
2022-08-08,1796.400024,1832.050049,1790.250000,1829.650024,1829.650024,2625195
2022-08-10,1830.000000,1867.000000,1822.250000,1855.150024,1855.150024,3422074
2022-08-11,1870.050049,1878.800049,1855.199951,1867.150024,1867.150024,1918049
2022-08-12,1865.000000,1869.000000,1838.000000,1846.449951,1846.449951,1041383
2022-08-16,1860.000000,1864.000000,1842.000000,1848.900024,1848.900024,1426893
2022-08-17,1861.449951,1867.349976,1850.050049,1855.699951,1855.699951,1748371
2022-08-18,1857.000000,1898.550049,1850.000000,1894.550049,1894.550049,2519639
2022-08-19,1894.099976,1942.000000,1892.750000,1936.050049,1936.050049,4134598
2022-08-22,1937.099976,1944.000000,1875.000000,1880.650024,1880.650024,3175874
2022-08-23,1870.000000,1911.949951,1865.699951,1877.050049,1877.050049,1811509
2022-08-24,1876.000000,1898.000000,1851.599976,1893.349976,1893.349976,1534933
2022-08-25,1900.000000,1918.000000,1873.000000,1877.900024,1877.900024,1121363
2022-08-26,1890.199951,1912.000000,1887.199951,1905.400024,1905.400024,1119310
2022-08-29,1870.000000,1890.000000,1861.000000,1881.500000,1881.500000,1183546
2022-08-30,1893.900024,1928.000000,1889.150024,1922.500000,1922.500000,1394462
2022-09-01,1905.000000,1930.500000,1892.099976,1912.949951,1912.949951,2014905
2022-09-02,1900.500000,1958.800049,1900.250000,1940.500000,1940.500000,3201140
2022-09-05,1947.949951,1972.750000,1942.099976,1968.349976,1968.349976,2474746
2022-09-06,1973.800049,1985.099976,1951.300049,1962.300049,1962.300049,1172733
2022-09-07,1941.099976,1961.349976,1934.000000,1958.099976,1958.099976,1238549
2022-09-08,1967.900024,1977.000000,1947.550049,1974.400024,1974.400024,1632797
2022-09-09,1977.349976,1987.400024,1944.000000,1949.750000,1949.750000,980869
