Date,Open,High,Low,Close,Adj Close,Volume
2012-05-04,161.100006,168.000000,160.149994,167.899994,127.499115,26234
2012-05-07,167.000000,167.000000,161.000000,165.000000,125.296959,3494
2012-05-08,163.000000,166.500000,162.100006,164.850006,125.183029,4084
2012-05-09,163.000000,164.000000,155.000000,161.800003,122.866920,18372
2012-05-10,163.000000,167.500000,160.199997,166.850006,126.701790,5758
2012-05-11,166.949997,166.949997,157.649994,159.850006,121.386177,6012
2012-05-14,160.050003,163.750000,157.300003,162.699997,123.550362,3482
2012-05-15,160.000000,164.500000,158.500000,164.199997,124.689423,2972
2012-05-16,161.000000,166.500000,160.000000,165.300003,125.524773,6218
2012-05-17,164.000000,167.000000,159.800003,166.399994,126.360054,10250
2012-05-18,164.000000,166.500000,161.500000,165.149994,125.410843,2675
2012-05-21,164.000000,165.449997,162.199997,165.000000,125.296959,3533
2012-05-22,163.250000,167.750000,160.600006,161.649994,122.753021,3774
2012-05-23,162.500000,165.050003,160.449997,160.649994,121.993652,1769
2012-05-24,161.050003,162.350006,160.500000,160.699997,122.031601,1460
2012-05-25,161.850006,161.949997,158.000000,159.949997,121.462090,3516
2012-05-28,159.000000,166.850006,159.000000,165.550003,125.714577,8044
2012-05-29,163.100006,167.000000,162.550003,165.899994,125.980362,3758
2012-05-30,163.199997,172.500000,163.199997,170.899994,129.777222,12337
2012-05-31,168.000000,173.000000,168.000000,171.949997,130.574600,10422
2012-06-01,172.949997,173.000000,166.500000,167.199997,126.967552,151016
2012-06-04,165.000000,172.000000,163.000000,169.949997,129.055817,42664
2012-06-05,169.500000,173.300003,164.500000,165.449997,125.638649,6188
2012-06-06,165.300003,169.000000,165.300003,166.050003,126.094284,1508
2012-06-07,167.500000,167.949997,166.000000,166.399994,126.360054,896
2012-06-08,170.000000,170.000000,165.100006,165.500000,125.676605,271715
2012-06-11,166.000000,175.000000,163.100006,163.850006,124.423645,4762
2012-06-12,165.000000,166.050003,160.199997,160.899994,122.183510,4907
2012-06-13,164.449997,164.449997,160.199997,160.500000,121.879761,1102
2012-06-14,160.100006,163.500000,159.199997,163.050003,123.816147,20862
2012-06-15,160.100006,162.750000,160.100006,162.149994,123.132706,4327
2012-06-18,164.500000,164.899994,160.600006,163.899994,124.461601,10961
2012-06-19,162.050003,163.899994,159.949997,160.300003,121.727882,7958
2012-06-20,160.000000,161.000000,154.000000,156.800003,119.070061,161601
2012-06-21,156.050003,156.649994,153.000000,155.300003,117.930977,4046
2012-06-22,154.800003,155.000000,151.000000,151.050003,114.703636,4090
2012-06-25,151.500000,155.699997,151.500000,151.850006,115.311150,4209
2012-06-26,152.800003,157.699997,151.500000,155.100006,117.779129,12168
2012-06-27,154.000000,161.000000,152.100006,160.050003,121.538055,12060
2012-06-28,160.000000,162.850006,160.000000,161.600006,122.715103,4952
2012-06-29,163.600006,163.699997,158.300003,160.600006,121.955727,268366
2012-07-02,160.000000,168.899994,160.000000,167.000000,126.815681,23308
2012-07-03,168.750000,169.000000,160.500000,162.050003,123.056793,15975
2012-07-04,164.000000,169.250000,161.300003,168.199997,127.726936,20094
2012-07-05,167.000000,172.350006,164.550003,172.100006,130.688477,20372
2012-07-06,170.000000,174.000000,166.000000,173.250000,131.561783,17349
2012-07-09,170.199997,175.500000,170.199997,174.949997,132.852722,14517
2012-07-10,172.300003,185.000000,170.100006,182.500000,138.585999,56824
2012-07-11,182.500000,197.800003,182.500000,189.699997,145.046967,10458388
2012-07-12,190.050003,191.000000,181.199997,183.000000,139.924088,499653
2012-07-13,183.100006,187.399994,180.649994,182.899994,139.847626,25810
2012-07-16,182.350006,184.000000,176.300003,180.399994,137.936050,27287
2012-07-17,180.949997,183.949997,175.500000,180.100006,137.706696,15035
2012-07-18,181.399994,186.000000,177.000000,181.199997,138.547775,491257
2012-07-19,182.500000,185.949997,179.100006,181.899994,139.082977,115475
2012-07-20,181.899994,183.949997,177.500000,178.199997,136.253922,9394
2012-07-23,182.449997,182.449997,177.000000,178.449997,136.445099,13466
2012-07-24,179.149994,180.050003,173.149994,175.449997,134.151260,9400
2012-07-25,175.000000,176.500000,172.149994,175.199997,133.960098,7183
2012-07-26,175.199997,175.949997,167.000000,168.500000,128.837189,12104
2012-07-27,173.699997,173.699997,162.350006,166.000000,126.925674,13551
2012-07-30,170.000000,174.500000,163.050003,171.399994,131.054581,515562
2012-07-31,171.500000,178.449997,171.500000,176.399994,134.877609,48659
2012-08-01,176.050003,177.449997,172.000000,172.649994,132.010330,33889
2012-08-02,172.399994,174.949997,170.600006,172.300003,131.742722,171211
2012-08-03,174.699997,174.949997,169.500000,172.550003,131.933899,7529
2012-08-06,174.000000,174.000000,171.100006,172.000000,131.513321,24691
2012-08-07,170.100006,173.899994,170.100006,171.149994,130.863388,66683
2012-08-08,172.000000,176.449997,169.199997,174.149994,133.157242,327068
2012-08-09,174.000000,182.949997,174.000000,177.399994,135.642242,88540
